,0
0,2016-05-01 18:20:00
1,2016-05-01 18:30:00
2,2016-05-01 18:40:00
3,2016-05-03 06:10:00
4,2016-05-03 06:20:00
5,2016-05-03 07:50:00
6,2016-05-03 08:00:00
7,2016-05-03 08:30:00
8,2016-05-03 08:40:00
9,2016-05-03 08:50:00
10,2016-05-03 09:00:00
11,2016-05-03 09:10:00
12,2016-05-03 09:20:00
13,2016-05-03 09:30:00
14,2016-05-03 09:40:00
15,2016-05-03 09:50:00
16,2016-05-03 10:00:00
17,2016-05-03 10:10:00
18,2016-05-03 10:20:00
19,2016-05-03 10:30:00
20,2016-05-03 10:40:00
21,2016-05-03 11:30:00
22,2016-05-03 11:40:00
23,2016-05-03 11:50:00
24,2016-05-03 12:10:00
25,2016-05-03 12:30:00
26,2016-05-03 12:40:00
27,2016-05-03 12:50:00
28,2016-05-03 13:10:00
29,2016-05-03 13:20:00
30,2016-05-03 13:30:00
31,2016-05-03 13:40:00
32,2016-05-03 13:50:00
33,2016-05-03 14:00:00
34,2016-05-03 14:10:00
35,2016-05-03 14:20:00
36,2016-05-03 14:30:00
37,2016-05-03 14:40:00
38,2016-05-03 15:10:00
39,2016-05-03 15:20:00
40,2016-05-03 15:50:00
41,2016-05-03 16:00:00
42,2016-05-03 16:10:00
43,2016-05-03 16:50:00
44,2016-05-03 17:30:00
45,2016-05-03 17:40:00
46,2016-05-03 18:10:00
47,2016-05-03 18:20:00
48,2016-05-03 18:30:00
49,2016-05-03 18:40:00
50,2016-05-03 19:50:00
51,2016-05-03 20:00:00
52,2016-05-03 20:30:00
53,2016-05-03 20:40:00
54,2016-05-03 21:10:00
55,2016-05-03 21:20:00
56,2016-05-03 21:30:00
57,2016-05-03 21:40:00
58,2016-05-07 02:20:00
59,2016-05-07 02:30:00
60,2016-05-07 02:40:00
61,2016-05-07 02:50:00
62,2016-05-07 03:00:00
63,2016-05-07 03:10:00
64,2016-05-07 03:20:00
65,2016-05-07 03:30:00
66,2016-05-07 03:40:00
67,2016-05-07 03:50:00
68,2016-05-07 04:00:00
69,2016-05-07 04:10:00
70,2016-05-07 04:20:00
71,2016-05-07 04:30:00
72,2016-05-07 04:40:00
73,2016-05-07 04:50:00
74,2016-05-07 05:00:00
75,2016-05-07 05:10:00
76,2016-05-07 05:20:00
77,2016-05-07 05:30:00
78,2016-05-07 05:40:00
79,2016-05-07 05:50:00
80,2016-05-07 06:00:00
81,2016-05-07 06:10:00
82,2016-05-07 06:20:00
83,2016-05-07 06:30:00
84,2016-05-07 07:00:00
85,2016-05-07 07:10:00
86,2016-05-07 07:20:00
87,2016-05-07 07:30:00
88,2016-05-07 07:50:00
89,2016-05-07 08:20:00
90,2016-05-07 08:30:00
91,2016-05-09 21:20:00
92,2016-05-09 21:30:00
93,2016-05-09 22:10:00
94,2016-05-09 22:30:00
95,2016-05-09 22:40:00
96,2016-05-09 22:50:00
97,2016-05-09 23:00:00
98,2016-05-09 23:10:00
99,2016-05-09 23:20:00
100,2016-05-09 23:30:00
101,2016-05-09 23:40:00
102,2016-05-09 23:50:00
103,2016-05-10 00:00:00
104,2016-05-10 00:10:00
105,2016-05-10 00:20:00
106,2016-05-10 00:30:00
107,2016-05-10 00:40:00
108,2016-05-10 00:50:00
109,2016-05-10 01:00:00
110,2016-05-10 01:10:00
111,2016-05-10 01:20:00
112,2016-05-10 01:30:00
113,2016-05-10 01:40:00
114,2016-05-10 01:50:00
115,2016-05-10 02:00:00
116,2016-05-10 02:10:00
117,2016-05-10 02:20:00
118,2016-05-10 02:30:00
119,2016-05-10 02:50:00
120,2016-05-10 03:00:00
121,2016-05-10 03:10:00
122,2016-05-10 03:20:00
123,2016-05-10 03:30:00
124,2016-05-10 04:10:00
125,2016-05-10 07:20:00
126,2016-05-10 07:30:00
127,2016-05-10 08:40:00
128,2016-05-10 08:50:00
129,2016-05-11 00:50:00
130,2016-05-11 01:00:00
131,2016-05-11 01:10:00
132,2016-05-11 01:20:00
133,2016-05-11 01:30:00
134,2016-05-11 01:40:00
135,2016-05-11 01:50:00
136,2016-05-11 02:00:00
137,2016-05-11 02:10:00
138,2016-05-11 02:20:00
139,2016-05-11 02:30:00
140,2016-05-11 02:40:00
141,2016-05-11 02:50:00
142,2016-05-11 03:00:00
143,2016-05-11 03:10:00
144,2016-05-11 03:20:00
145,2016-05-11 03:30:00
146,2016-05-11 03:40:00
147,2016-05-11 03:50:00
148,2016-05-11 04:00:00
149,2016-05-11 04:10:00
150,2016-05-11 04:20:00
151,2016-05-11 04:30:00
152,2016-05-11 04:40:00
153,2016-05-11 04:50:00
154,2016-05-11 05:00:00
155,2016-05-11 05:10:00
156,2016-05-11 05:20:00
157,2016-05-11 05:30:00
158,2016-05-11 05:40:00
159,2016-05-11 05:50:00
160,2016-05-11 06:00:00
161,2016-05-11 06:10:00
162,2016-05-11 06:20:00
163,2016-05-11 06:30:00
164,2016-05-11 06:40:00
165,2016-05-11 06:50:00
166,2016-05-11 07:00:00
167,2016-05-11 07:10:00
168,2016-05-11 07:20:00
169,2016-05-11 07:30:00
170,2016-05-11 07:40:00
171,2016-05-11 07:50:00
172,2016-05-11 08:00:00
173,2016-05-11 08:10:00
174,2016-05-11 08:20:00
175,2016-05-11 08:30:00
176,2016-05-11 08:40:00
177,2016-05-11 08:50:00
178,2016-05-11 09:00:00
179,2016-05-11 09:10:00
180,2016-05-11 09:20:00
181,2016-05-11 09:30:00
182,2016-05-11 09:40:00
183,2016-05-11 09:50:00
184,2016-05-11 10:00:00
185,2016-05-11 10:10:00
186,2016-05-11 10:20:00
187,2016-05-11 10:30:00
188,2016-05-11 10:40:00
189,2016-05-11 10:50:00
190,2016-05-11 11:00:00
191,2016-05-11 11:10:00
192,2016-05-11 11:20:00
193,2016-05-11 11:30:00
194,2016-05-11 11:40:00
195,2016-05-11 11:50:00
196,2016-05-11 12:00:00
197,2016-05-11 12:10:00
198,2016-05-11 12:20:00
199,2016-05-11 12:30:00
200,2016-05-11 12:40:00
201,2016-05-11 12:50:00
202,2016-05-11 13:00:00
203,2016-05-11 13:10:00
204,2016-05-11 13:20:00
205,2016-05-11 13:30:00
206,2016-05-11 13:40:00
207,2016-05-11 13:50:00
208,2016-05-11 14:00:00
209,2016-05-11 14:10:00
210,2016-05-11 14:20:00
211,2016-05-11 14:30:00
212,2016-05-11 14:40:00
213,2016-05-11 14:50:00
214,2016-05-11 15:00:00
215,2016-05-11 15:10:00
216,2016-05-11 15:20:00
217,2016-05-11 15:30:00
218,2016-05-11 15:40:00
219,2016-05-11 15:50:00
220,2016-05-11 16:00:00
221,2016-05-11 16:10:00
222,2016-05-11 16:20:00
223,2016-05-11 16:30:00
224,2016-05-11 16:40:00
225,2016-05-11 16:50:00
226,2016-05-11 17:00:00
227,2016-05-11 17:10:00
228,2016-05-11 17:20:00
229,2016-05-11 17:30:00
230,2016-05-11 17:40:00
231,2016-05-11 17:50:00
232,2016-05-11 18:00:00
233,2016-05-11 18:10:00
234,2016-05-11 18:20:00
235,2016-05-11 18:30:00
236,2016-05-11 18:40:00
237,2016-05-11 18:50:00
238,2016-05-11 19:00:00
239,2016-05-11 19:10:00
240,2016-05-11 19:20:00
241,2016-05-11 19:30:00
242,2016-05-11 19:40:00
243,2016-05-11 19:50:00
244,2016-05-11 20:00:00
245,2016-05-11 20:10:00
246,2016-05-11 20:20:00
247,2016-05-11 20:30:00
248,2016-05-11 20:40:00
249,2016-05-11 20:50:00
250,2016-05-11 21:00:00
251,2016-05-11 21:10:00
252,2016-05-11 21:20:00
253,2016-05-11 21:30:00
254,2016-05-11 21:40:00
255,2016-05-11 21:50:00
256,2016-05-11 22:00:00
257,2016-05-11 22:10:00
258,2016-05-11 22:20:00
259,2016-05-11 22:30:00
260,2016-05-11 22:40:00
261,2016-05-11 22:50:00
262,2016-05-11 23:00:00
263,2016-05-11 23:10:00
264,2016-05-11 23:20:00
265,2016-05-11 23:30:00
266,2016-05-11 23:40:00
267,2016-05-11 23:50:00
268,2016-05-12 00:00:00
269,2016-05-12 00:10:00
270,2016-05-12 00:20:00
271,2016-05-12 00:30:00
272,2016-05-12 00:40:00
273,2016-05-12 00:50:00
274,2016-05-12 01:00:00
275,2016-05-12 01:10:00
276,2016-05-12 01:20:00
277,2016-05-12 01:30:00
278,2016-05-12 01:40:00
279,2016-05-12 01:50:00
280,2016-05-12 02:00:00
281,2016-05-12 02:10:00
282,2016-05-12 02:20:00
283,2016-05-12 02:30:00
284,2016-05-12 02:40:00
285,2016-05-12 02:50:00
286,2016-05-12 03:00:00
287,2016-05-12 03:10:00
288,2016-05-12 03:20:00
289,2016-05-12 03:30:00
290,2016-05-12 03:40:00
291,2016-05-12 03:50:00
292,2016-05-12 04:00:00
293,2016-05-12 04:10:00
294,2016-05-12 04:20:00
295,2016-05-12 04:30:00
296,2016-05-12 04:40:00
297,2016-05-12 04:50:00
298,2016-05-12 05:00:00
299,2016-05-12 05:10:00
300,2016-05-12 05:20:00
301,2016-05-12 05:30:00
302,2016-05-12 05:40:00
303,2016-05-12 05:50:00
304,2016-05-12 06:00:00
305,2016-05-12 06:10:00
306,2016-05-12 06:20:00
307,2016-05-12 06:30:00
308,2016-05-12 06:40:00
309,2016-05-12 06:50:00
310,2016-05-12 07:00:00
311,2016-05-12 07:10:00
312,2016-05-12 07:20:00
313,2016-05-12 07:30:00
314,2016-05-12 07:40:00
315,2016-05-12 07:50:00
316,2016-05-12 08:00:00
317,2016-05-12 08:10:00
318,2016-05-12 08:20:00
319,2016-05-12 08:30:00
320,2016-05-12 08:40:00
321,2016-05-12 08:50:00
322,2016-05-12 09:00:00
323,2016-05-12 09:10:00
324,2016-05-12 09:20:00
325,2016-05-12 09:30:00
326,2016-05-12 09:40:00
327,2016-05-12 09:50:00
328,2016-05-12 10:00:00
329,2016-05-12 10:10:00
330,2016-05-12 10:20:00
331,2016-05-12 10:30:00
332,2016-05-12 10:40:00
333,2016-05-12 10:50:00
334,2016-05-12 11:00:00
335,2016-05-12 11:10:00
336,2016-05-12 11:20:00
337,2016-05-12 11:30:00
338,2016-05-12 11:40:00
339,2016-05-12 11:50:00
340,2016-05-12 12:00:00
341,2016-05-12 12:10:00
342,2016-05-12 12:20:00
343,2016-05-12 12:30:00
344,2016-05-12 12:40:00
345,2016-05-12 12:50:00
346,2016-05-12 13:00:00
347,2016-05-12 13:10:00
348,2016-05-12 13:20:00
349,2016-05-12 13:30:00
350,2016-05-12 13:40:00
351,2016-05-12 13:50:00
352,2016-05-12 14:00:00
353,2016-05-12 14:10:00
354,2016-05-12 14:20:00
355,2016-05-12 14:30:00
356,2016-05-12 14:40:00
357,2016-05-12 14:50:00
358,2016-05-12 15:00:00
359,2016-05-12 15:10:00
360,2016-05-12 15:20:00
361,2016-05-12 15:30:00
362,2016-05-12 15:40:00
363,2016-05-12 15:50:00
364,2016-05-12 16:00:00
365,2016-05-12 16:10:00
366,2016-05-12 16:20:00
367,2016-05-12 16:30:00
368,2016-05-12 16:40:00
369,2016-05-12 16:50:00
370,2016-05-12 17:00:00
371,2016-05-12 17:10:00
372,2016-05-12 17:20:00
373,2016-05-12 17:30:00
374,2016-05-12 17:40:00
375,2016-05-12 17:50:00
376,2016-05-12 18:00:00
377,2016-05-12 18:10:00
378,2016-05-12 18:20:00
379,2016-05-12 18:30:00
380,2016-05-12 18:40:00
381,2016-05-12 18:50:00
382,2016-05-12 19:00:00
383,2016-05-12 19:10:00
384,2016-05-12 19:20:00
385,2016-05-12 19:30:00
386,2016-05-12 19:40:00
387,2016-05-12 19:50:00
388,2016-05-12 20:00:00
389,2016-05-12 20:10:00
390,2016-05-12 20:20:00
391,2016-05-12 20:30:00
392,2016-05-12 20:40:00
393,2016-05-12 20:50:00
394,2016-05-12 21:00:00
395,2016-05-12 21:10:00
396,2016-05-12 21:20:00
397,2016-05-12 21:30:00
398,2016-05-12 21:40:00
399,2016-05-12 21:50:00
400,2016-05-12 22:00:00
401,2016-05-12 22:10:00
402,2016-05-12 22:20:00
403,2016-05-12 22:30:00
404,2016-05-12 22:40:00
405,2016-05-12 22:50:00
406,2016-05-12 23:00:00
407,2016-05-12 23:10:00
408,2016-05-12 23:20:00
409,2016-05-12 23:30:00
410,2016-05-12 23:40:00
411,2016-05-12 23:50:00
412,2016-05-13 00:00:00
413,2016-05-13 00:10:00
414,2016-05-13 00:20:00
415,2016-05-13 00:30:00
416,2016-05-13 00:40:00
417,2016-05-13 00:50:00
418,2016-05-13 01:00:00
419,2016-05-13 01:10:00
420,2016-05-13 01:20:00
421,2016-05-13 01:30:00
422,2016-05-13 01:40:00
423,2016-05-13 01:50:00
424,2016-05-13 02:00:00
425,2016-05-13 02:10:00
426,2016-05-13 02:20:00
427,2016-05-13 02:30:00
428,2016-05-13 02:40:00
429,2016-05-13 02:50:00
430,2016-05-13 03:00:00
431,2016-05-13 03:10:00
432,2016-05-13 03:20:00
433,2016-05-13 03:30:00
434,2016-05-13 03:40:00
435,2016-05-13 03:50:00
436,2016-05-13 04:00:00
437,2016-05-13 04:10:00
438,2016-05-13 04:20:00
439,2016-05-13 04:30:00
440,2016-05-13 04:40:00
441,2016-05-13 04:50:00
442,2016-05-13 05:00:00
443,2016-05-13 05:10:00
444,2016-05-13 05:20:00
445,2016-05-13 05:30:00
446,2016-05-13 05:40:00
447,2016-05-13 05:50:00
448,2016-05-13 06:00:00
449,2016-05-13 06:10:00
450,2016-05-13 06:20:00
451,2016-05-13 06:30:00
452,2016-05-13 06:40:00
453,2016-05-13 06:50:00
454,2016-05-13 07:00:00
455,2016-05-13 07:10:00
456,2016-05-13 07:20:00
457,2016-05-13 07:30:00
458,2016-05-13 07:40:00
459,2016-05-13 07:50:00
460,2016-05-13 08:00:00
461,2016-05-13 08:10:00
462,2016-05-13 08:20:00
463,2016-05-13 08:30:00
464,2016-05-13 08:40:00
465,2016-05-13 08:50:00
466,2016-05-13 09:00:00
467,2016-05-13 09:10:00
468,2016-05-13 09:20:00
469,2016-05-13 09:30:00
470,2016-05-13 09:40:00
471,2016-05-13 09:50:00
