,0
0,2016-04-03 13:50:00
1,2016-04-03 14:00:00
2,2016-04-03 14:10:00
3,2016-04-03 14:20:00
4,2016-04-03 14:30:00
5,2016-04-03 14:40:00
6,2016-04-03 14:50:00
7,2016-04-03 15:00:00
8,2016-04-03 15:10:00
9,2016-04-03 15:40:00
10,2016-04-03 15:50:00
11,2016-04-03 16:00:00
12,2016-04-03 16:10:00
13,2016-04-03 16:20:00
14,2016-04-03 16:30:00
15,2016-04-03 16:40:00
16,2016-04-03 16:50:00
17,2016-04-03 17:00:00
18,2016-04-03 17:10:00
19,2016-04-03 17:20:00
20,2016-04-03 17:30:00
21,2016-04-03 17:40:00
22,2016-04-03 17:50:00
23,2016-04-03 18:00:00
24,2016-04-03 18:10:00
25,2016-04-03 18:20:00
26,2016-04-03 18:30:00
27,2016-04-03 18:40:00
28,2016-04-03 18:50:00
29,2016-04-03 19:00:00
30,2016-04-03 19:10:00
31,2016-04-03 19:20:00
32,2016-04-03 19:30:00
33,2016-04-03 19:40:00
34,2016-04-03 19:50:00
35,2016-04-03 20:00:00
36,2016-04-03 20:10:00
37,2016-04-03 20:20:00
38,2016-04-03 20:30:00
39,2016-04-03 20:50:00
40,2016-04-03 21:00:00
41,2016-04-04 02:00:00
42,2016-04-04 02:10:00
43,2016-04-04 02:20:00
44,2016-04-04 02:40:00
45,2016-04-04 02:50:00
46,2016-04-04 03:00:00
47,2016-04-04 03:10:00
48,2016-04-04 03:20:00
49,2016-04-04 03:30:00
50,2016-04-04 03:40:00
51,2016-04-04 03:50:00
52,2016-04-04 04:00:00
53,2016-04-04 04:10:00
54,2016-04-04 04:20:00
55,2016-04-04 04:30:00
56,2016-04-04 04:40:00
57,2016-04-04 04:50:00
58,2016-04-04 05:00:00
59,2016-04-04 05:10:00
60,2016-04-04 05:20:00
61,2016-04-04 05:30:00
62,2016-04-04 05:40:00
63,2016-04-04 05:50:00
64,2016-04-04 06:00:00
65,2016-04-04 06:10:00
66,2016-04-04 06:20:00
67,2016-04-04 06:30:00
68,2016-04-04 06:40:00
69,2016-04-04 06:50:00
70,2016-04-04 07:00:00
71,2016-04-04 07:10:00
72,2016-04-04 07:20:00
73,2016-04-04 07:30:00
74,2016-04-04 07:40:00
75,2016-04-04 07:50:00
76,2016-04-04 08:00:00
77,2016-04-04 08:10:00
78,2016-04-04 08:20:00
79,2016-04-04 08:30:00
80,2016-04-04 08:40:00
81,2016-04-04 08:50:00
82,2016-04-04 09:00:00
83,2016-04-04 09:10:00
84,2016-04-04 09:20:00
85,2016-04-04 09:30:00
86,2016-04-04 09:40:00
87,2016-04-04 09:50:00
88,2016-04-04 10:00:00
89,2016-04-04 10:10:00
90,2016-04-04 10:20:00
91,2016-04-04 10:30:00
92,2016-04-04 10:40:00
93,2016-04-04 10:50:00
94,2016-04-04 11:00:00
95,2016-04-04 11:10:00
96,2016-04-04 11:20:00
97,2016-04-04 11:30:00
98,2016-04-04 11:40:00
99,2016-04-04 11:50:00
100,2016-04-04 12:00:00
101,2016-04-04 12:10:00
102,2016-04-04 12:20:00
103,2016-04-04 12:30:00
104,2016-04-04 12:40:00
105,2016-04-04 12:50:00
106,2016-04-04 13:00:00
107,2016-04-04 13:10:00
108,2016-04-04 13:20:00
109,2016-04-04 13:30:00
110,2016-04-04 13:40:00
111,2016-04-04 13:50:00
112,2016-04-04 14:00:00
113,2016-04-04 14:10:00
114,2016-04-04 14:20:00
115,2016-04-04 14:30:00
116,2016-04-04 14:40:00
117,2016-04-04 14:50:00
118,2016-04-04 15:00:00
119,2016-04-04 15:10:00
120,2016-04-04 15:20:00
121,2016-04-04 15:30:00
122,2016-04-04 15:40:00
123,2016-04-04 15:50:00
124,2016-04-04 16:00:00
125,2016-04-04 16:10:00
126,2016-04-04 16:20:00
127,2016-04-04 16:30:00
128,2016-04-04 16:40:00
129,2016-04-04 16:50:00
130,2016-04-04 17:00:00
131,2016-04-04 17:10:00
132,2016-04-04 17:20:00
133,2016-04-04 17:30:00
134,2016-04-04 17:40:00
135,2016-04-04 17:50:00
136,2016-04-04 18:00:00
137,2016-04-04 18:10:00
138,2016-04-04 18:20:00
