,0
0,2016-04-03 10:10:00
1,2016-04-03 10:20:00
2,2016-04-03 10:30:00
3,2016-04-03 10:40:00
4,2016-04-03 10:50:00
5,2016-04-03 11:00:00
6,2016-04-03 11:10:00
7,2016-04-03 11:20:00
8,2016-04-03 11:30:00
9,2016-04-03 11:40:00
10,2016-04-03 11:50:00
11,2016-04-03 12:00:00
12,2016-04-03 12:10:00
13,2016-04-03 12:20:00
14,2016-04-03 12:30:00
15,2016-04-03 12:40:00
16,2016-04-03 12:50:00
17,2016-04-03 13:00:00
18,2016-04-03 13:10:00
19,2016-04-03 13:20:00
20,2016-04-03 13:30:00
21,2016-04-03 13:40:00
22,2016-04-03 15:20:00
23,2016-04-03 15:30:00
24,2016-04-03 20:40:00
25,2016-04-03 21:10:00
26,2016-04-03 21:20:00
27,2016-04-03 21:30:00
28,2016-04-03 21:40:00
29,2016-04-03 21:50:00
30,2016-04-03 22:00:00
31,2016-04-03 22:10:00
32,2016-04-03 22:20:00
33,2016-04-03 22:30:00
34,2016-04-03 22:40:00
35,2016-04-03 22:50:00
36,2016-04-03 23:00:00
37,2016-04-03 23:10:00
38,2016-04-03 23:20:00
39,2016-04-03 23:30:00
40,2016-04-03 23:40:00
41,2016-04-03 23:50:00
42,2016-04-04 00:00:00
43,2016-04-04 00:10:00
44,2016-04-04 00:20:00
45,2016-04-04 00:30:00
46,2016-04-04 00:40:00
47,2016-04-04 00:50:00
48,2016-04-04 01:00:00
49,2016-04-04 01:10:00
50,2016-04-04 01:20:00
51,2016-04-04 01:30:00
52,2016-04-04 01:40:00
53,2016-04-04 01:50:00
54,2016-04-04 02:30:00
55,2016-04-05 15:10:00
56,2016-04-05 15:20:00
57,2016-04-05 15:30:00
58,2016-04-05 15:40:00
59,2016-04-05 15:50:00
60,2016-04-05 17:20:00
61,2016-04-05 17:30:00
62,2016-04-05 17:40:00
63,2016-04-05 17:50:00
64,2016-04-05 18:00:00
65,2016-04-05 18:10:00
66,2016-04-05 18:20:00
67,2016-04-05 18:30:00
68,2016-04-07 02:20:00
69,2016-04-07 02:30:00
70,2016-04-07 02:40:00
71,2016-04-07 02:50:00
72,2016-04-07 03:00:00
73,2016-04-07 03:10:00
74,2016-04-09 00:00:00
75,2016-04-09 00:10:00
76,2016-04-09 00:20:00
77,2016-04-09 00:30:00
78,2016-04-17 11:50:00
79,2016-04-17 12:00:00
80,2016-04-17 12:10:00
81,2016-04-17 13:00:00
82,2016-04-17 13:10:00
83,2016-04-19 21:20:00
84,2016-04-19 21:30:00
85,2016-04-19 21:40:00
86,2016-04-19 21:50:00
87,2016-04-21 23:20:00
88,2016-04-21 23:30:00
89,2016-04-21 23:40:00
90,2016-04-23 06:50:00
91,2016-04-23 07:00:00
92,2016-04-23 07:10:00
93,2016-04-23 07:20:00
94,2016-04-26 17:20:00
95,2016-04-26 17:30:00
96,2016-04-29 09:50:00
97,2016-04-29 10:00:00
98,2016-04-29 10:10:00
