,0
0,2016-05-02 09:40:00
1,2016-05-02 09:50:00
2,2016-05-02 10:00:00
3,2016-05-02 10:10:00
4,2016-05-02 10:20:00
5,2016-05-02 10:30:00
6,2016-05-02 10:40:00
7,2016-05-02 10:50:00
8,2016-05-02 11:00:00
9,2016-05-02 11:10:00
10,2016-05-02 11:20:00
11,2016-05-02 11:30:00
12,2016-05-02 11:40:00
13,2016-05-02 11:50:00
14,2016-05-02 12:00:00
15,2016-05-02 12:10:00
16,2016-05-02 12:20:00
17,2016-05-02 12:30:00
18,2016-05-02 12:40:00
19,2016-05-02 12:50:00
20,2016-05-02 13:00:00
21,2016-05-02 13:10:00
22,2016-05-02 13:20:00
23,2016-05-02 13:30:00
24,2016-05-02 13:40:00
25,2016-05-02 13:50:00
26,2016-05-02 14:00:00
27,2016-05-02 14:10:00
28,2016-05-02 14:20:00
29,2016-05-02 14:30:00
30,2016-05-02 14:40:00
31,2016-05-02 14:50:00
32,2016-05-02 15:00:00
33,2016-05-02 15:10:00
34,2016-05-02 15:20:00
35,2016-05-02 15:30:00
36,2016-05-02 15:40:00
37,2016-05-02 15:50:00
38,2016-05-02 16:00:00
39,2016-05-02 16:10:00
40,2016-05-02 16:20:00
41,2016-05-02 16:30:00
42,2016-05-02 16:40:00
43,2016-05-02 16:50:00
44,2016-05-02 17:00:00
45,2016-05-02 17:10:00
46,2016-05-02 17:20:00
47,2016-05-02 17:30:00
48,2016-05-02 17:40:00
49,2016-05-02 17:50:00
50,2016-05-02 18:00:00
51,2016-05-02 18:10:00
52,2016-05-02 18:20:00
53,2016-05-02 18:30:00
54,2016-05-02 18:40:00
55,2016-05-02 18:50:00
56,2016-05-02 19:00:00
57,2016-05-02 19:10:00
58,2016-05-02 19:20:00
59,2016-05-02 19:30:00
60,2016-05-02 19:40:00
61,2016-05-02 19:50:00
62,2016-05-02 20:00:00
63,2016-05-02 20:10:00
64,2016-05-02 20:20:00
65,2016-05-02 20:30:00
66,2016-05-02 20:40:00
67,2016-05-02 20:50:00
68,2016-05-02 21:00:00
69,2016-05-02 21:10:00
70,2016-05-02 21:20:00
71,2016-05-02 21:30:00
72,2016-05-02 21:40:00
73,2016-05-02 21:50:00
74,2016-05-02 22:00:00
75,2016-05-02 22:10:00
76,2016-05-02 22:20:00
77,2016-05-02 22:30:00
78,2016-05-02 22:40:00
79,2016-05-02 22:50:00
80,2016-05-02 23:00:00
81,2016-05-02 23:10:00
82,2016-05-02 23:20:00
83,2016-05-02 23:30:00
84,2016-05-02 23:40:00
85,2016-05-02 23:50:00
86,2016-05-03 00:00:00
87,2016-05-03 00:10:00
88,2016-05-03 00:20:00
89,2016-05-03 00:30:00
90,2016-05-03 00:40:00
91,2016-05-03 00:50:00
92,2016-05-03 01:00:00
93,2016-05-03 01:10:00
94,2016-05-03 01:20:00
95,2016-05-03 01:30:00
96,2016-05-03 01:40:00
97,2016-05-03 01:50:00
98,2016-05-03 02:00:00
99,2016-05-03 02:10:00
100,2016-05-03 02:20:00
101,2016-05-03 02:30:00
102,2016-05-03 02:40:00
103,2016-05-03 02:50:00
104,2016-05-03 03:00:00
105,2016-05-03 03:10:00
106,2016-05-03 03:20:00
107,2016-05-03 03:30:00
108,2016-05-03 03:40:00
109,2016-05-03 03:50:00
110,2016-05-03 04:00:00
111,2016-05-03 04:10:00
112,2016-05-03 04:20:00
113,2016-05-03 04:30:00
114,2016-05-03 04:40:00
115,2016-05-03 04:50:00
116,2016-05-03 05:00:00
117,2016-05-03 05:10:00
118,2016-05-03 05:20:00
119,2016-05-03 05:30:00
120,2016-05-03 05:40:00
121,2016-05-03 05:50:00
122,2016-05-03 06:00:00
123,2016-05-06 11:30:00
124,2016-05-06 11:40:00
125,2016-05-06 11:50:00
126,2016-05-06 12:00:00
127,2016-05-06 12:10:00
128,2016-05-06 12:20:00
129,2016-05-06 12:30:00
130,2016-05-06 12:40:00
131,2016-05-06 12:50:00
132,2016-05-06 13:00:00
133,2016-05-06 13:10:00
134,2016-05-06 13:20:00
135,2016-05-06 13:30:00
136,2016-05-06 13:40:00
137,2016-05-06 13:50:00
138,2016-05-06 14:00:00
139,2016-05-06 14:10:00
140,2016-05-06 14:20:00
141,2016-05-06 14:30:00
142,2016-05-06 14:40:00
143,2016-05-06 14:50:00
144,2016-05-06 15:00:00
145,2016-05-06 15:10:00
146,2016-05-06 15:20:00
147,2016-05-06 15:30:00
148,2016-05-06 15:40:00
149,2016-05-06 15:50:00
150,2016-05-06 16:00:00
151,2016-05-06 16:10:00
152,2016-05-06 16:20:00
153,2016-05-06 16:30:00
154,2016-05-06 16:40:00
155,2016-05-06 16:50:00
156,2016-05-06 17:00:00
157,2016-05-06 17:10:00
158,2016-05-06 17:20:00
159,2016-05-06 17:30:00
160,2016-05-06 17:40:00
161,2016-05-06 17:50:00
162,2016-05-06 18:00:00
163,2016-05-06 18:10:00
164,2016-05-06 18:20:00
165,2016-05-06 18:30:00
166,2016-05-06 18:40:00
167,2016-05-06 18:50:00
168,2016-05-06 19:00:00
169,2016-05-06 19:10:00
170,2016-05-06 19:20:00
171,2016-05-06 19:30:00
172,2016-05-06 19:40:00
173,2016-05-06 19:50:00
174,2016-05-06 20:00:00
175,2016-05-06 20:10:00
176,2016-05-06 20:20:00
177,2016-05-06 20:30:00
178,2016-05-06 20:40:00
179,2016-05-06 20:50:00
180,2016-05-06 21:00:00
181,2016-05-06 21:10:00
182,2016-05-06 21:20:00
183,2016-05-06 21:30:00
184,2016-05-06 21:40:00
185,2016-05-06 21:50:00
186,2016-05-06 22:00:00
187,2016-05-06 22:10:00
188,2016-05-06 22:20:00
189,2016-05-06 22:30:00
190,2016-05-06 22:40:00
191,2016-05-06 22:50:00
192,2016-05-06 23:00:00
193,2016-05-06 23:10:00
194,2016-05-06 23:20:00
195,2016-05-06 23:30:00
196,2016-05-06 23:40:00
197,2016-05-06 23:50:00
198,2016-05-07 00:00:00
199,2016-05-07 00:10:00
200,2016-05-07 00:20:00
201,2016-05-07 00:30:00
202,2016-05-07 00:40:00
203,2016-05-07 00:50:00
204,2016-05-07 01:00:00
205,2016-05-07 01:10:00
206,2016-05-07 01:20:00
207,2016-05-07 01:30:00
208,2016-05-07 01:40:00
209,2016-05-07 01:50:00
210,2016-05-07 02:00:00
211,2016-05-07 02:10:00
212,2016-05-09 06:30:00
213,2016-05-09 06:40:00
214,2016-05-09 06:50:00
215,2016-05-09 07:00:00
216,2016-05-09 07:10:00
217,2016-05-09 07:20:00
218,2016-05-09 07:30:00
219,2016-05-09 07:40:00
220,2016-05-09 07:50:00
221,2016-05-09 08:00:00
222,2016-05-09 08:10:00
223,2016-05-09 08:20:00
224,2016-05-09 08:30:00
225,2016-05-09 08:40:00
226,2016-05-09 08:50:00
227,2016-05-09 09:00:00
228,2016-05-09 09:10:00
229,2016-05-09 09:20:00
230,2016-05-09 09:30:00
