,0
0,11840
1,11841
2,11842
3,11843
4,11844
5,11845
6,11846
7,11847
8,11848
9,11849
10,11850
11,11851
12,11852
13,11853
14,11854
15,11855
16,11856
17,11857
18,11858
19,11859
20,11860
21,11861
22,11862
23,11863
24,11864
25,11865
26,11866
27,11867
28,11868
29,11869
30,11870
31,11871
32,11872
33,11873
34,11874
35,11875
36,11876
37,11877
38,11878
39,11879
40,11880
41,11881
42,11882
43,11883
44,11884
45,11885
46,11886
47,11887
48,11888
49,11889
50,11890
51,11891
52,11892
53,11893
54,11894
55,11895
56,11896
57,11897
58,11898
59,11899
60,11900
61,11901
62,11902
63,11903
64,11904
65,11905
66,11906
67,11907
68,11908
69,11909
70,11910
71,11911
72,12449
73,12450
74,12451
75,12452
76,12453
77,12454
78,12455
79,12456
80,12457
81,12458
82,12459
83,12460
84,12461
85,12462
86,12463
87,12464
88,12465
89,12466
90,12467
91,12468
92,12469
93,12470
94,12471
95,12472
96,12473
97,12474
98,12475
99,12476
100,12477
101,12478
102,12479
103,12480
104,12481
105,12482
106,12483
107,12484
108,12606
109,12607
110,12608
111,12609
112,12610
113,12611
114,12612
115,12613
116,12614
117,12615
118,12616
119,12632
120,12633
121,12734
122,12735
123,12736
124,12737
125,12738
126,12739
127,12740
128,12741
129,12742
130,12743
131,12744
132,12745
133,12746
134,12747
135,12748
136,12749
137,12750
138,12751
139,12752
140,12753
141,12754
142,12755
143,12756
144,12757
145,12758
146,12759
147,12760
148,12761
149,12762
150,13010
151,13014
152,13018
153,13027
154,13030
155,13043
156,13045
157,13046
158,14447
159,15215
160,15216
161,15217
162,15218
163,15219
164,15220
165,15221
166,15222
167,15223
168,15224
169,15225
170,15226
171,15227
172,15228
173,15229
174,15230
175,15231
176,15232
177,15233
178,15234
179,15235
180,15236
181,15237
182,15238
183,15239
184,15240
185,15241
186,15242
187,15243
188,15244
189,15245
190,15246
191,15247
192,15248
193,15249
194,15250
195,15251
196,15252
197,15253
198,15254
199,15255
200,15256
201,15257
202,15258
203,15259
204,15260
205,15261
206,15262
207,15263
208,15264
209,15265
210,15266
211,15267
212,15268
213,15269
214,15322
215,15323
216,15324
217,15325
218,15326
219,15327
220,15328
221,15329
222,15330
223,15331
224,15332
225,15333
226,15334
227,15335
228,15336
229,15337
230,15338
231,15339
232,15340
233,15341
234,15342
235,15343
236,15344
237,15345
238,15346
239,15347
240,15348
241,15349
242,15350
243,15351
244,15352
245,15353
246,15354
247,15355
248,15356
249,15357
250,15358
251,15359
252,15360
253,15361
254,15362
255,15363
256,15364
257,15365
258,15366
259,15367
260,15368
261,15369
262,15370
263,15371
264,15372
265,15373
266,15374
267,15375
268,15376
269,15377
270,15378
271,15379
272,15380
273,15381
274,15382
275,15383
276,15384
277,15385
278,15386
279,15387
280,15388
281,15389
282,15390
283,15391
284,15392
285,15393
286,15394
287,15395
288,15396
289,15397
290,15398
291,15399
292,15400
293,15401
294,15402
295,15403
296,15404
297,15405
298,15406
299,15407
300,15408
301,15409
302,15410
303,15411
304,15412
305,15413
306,15466
307,15467
308,15468
309,15469
310,15470
311,15471
312,15472
313,15473
314,15474
315,15475
316,15476
317,15477
318,15478
319,15479
320,15480
321,15481
322,15482
323,15483
324,15484
325,15485
326,15486
327,15487
328,15488
329,15489
330,15490
331,15491
332,15492
333,15493
334,15494
335,15495
336,15496
337,15497
338,15498
339,15499
340,15500
341,15501
342,15502
343,15503
344,15504
345,15505
346,15506
347,15507
348,15508
349,15509
350,15510
351,15511
352,15512
353,15513
354,15514
355,15515
356,15516
357,15517
358,15518
359,15519
360,15520
361,15521
362,15522
363,15523
364,15524
365,15525
366,15526
367,15527
368,15528
369,15529
370,15530
371,15531
372,15532
373,15533
374,15534
375,15535
376,15536
377,15537
378,15538
379,15539
380,15540
381,15541
382,15542
383,15543
384,15544
385,15545
386,15546
387,15547
388,15548
389,15549
390,15550
391,15551
392,15574
393,15575
394,15576
395,15577
396,15578
397,15579
398,15580
399,15581
400,15582
401,15583
402,15584
403,15585
404,15586
405,15587
406,15588
407,15589
408,15590
409,15591
410,15592
411,15593
412,15594
413,15595
414,15596
415,15597
416,15598
417,15599
418,15600
419,15601
420,15602
421,15603
422,15604
423,15605
424,15606
425,15607
426,15608
427,15609
428,15610
429,15611
430,15612
431,15613
432,15614
433,15615
434,15616
435,15617
436,15646
437,15647
438,15670
439,15671
440,15672
441,15673
442,15674
443,15675
444,15676
