,date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
0,31401.328,29.065226,12.062035,4.4846497,-122.28286,-42.98325,-14.012131,7.5536394,-119.62874,-26.838972,-45.426582,-6.9939327,52.93867,63.82126,35.13849,42.29549,61.92571,36.49447,70.467155,-72.06455,35.981686,49.470615,240.6735,39.6563,-55.82921,-2.1536438,-32.137177,-24.042011,117.41533
1,30380.504,27.645765,11.491135,4.3664856,-121.0098,-43.814533,-14.53463,5.7323656,-114.22165,-24.52989,-43.68539,-7.9853764,50.308804,62.104942,33.765396,40.440277,62.56133,36.37361,68.59116,-69.71485,34.27612,47.370106,232.28726,39.753365,-56.434624,-3.8817399,-31.435883,-23.230862,113.634
2,32787.25,29.832468,13.027367,4.2496185,-124.13389,-44.313755,-15.093979,8.027608,-125.45167,-31.582586,-47.832043,-5.9110317,55.07696,65.671234,34.913544,45.887783,63.925312,38.42353,71.35888,-78.05943,38.46537,50.157658,246.59314,41.82742,-58.557808,-0.075810574,-32.467438,-23.583378,125.28194
3,29559.207,26.804224,10.706795,3.793396,-115.5118,-41.470615,-14.034046,6.1588793,-111.812515,-25.225218,-42.267513,-5.831087,49.156933,60.174843,32.391495,40.03555,59.169056,35.433304,65.2024,-67.090225,35.073704,46.295757,224.18126,37.215183,-53.49975,-3.4174092,-28.890503,-21.760258,111.12244
4,28370.398,25.94924,10.580818,3.8975067,-109.465866,-39.195446,-12.60825,6.2169847,-106.85715,-23.782812,-39.95713,-6.10647,47.258633,57.016853,30.479904,38.734234,56.23241,34.362503,62.445667,-64.89492,33.290466,43.562847,216.71944,36.50334,-50.34897,-2.4001362,-28.094803,-20.489933,107.21399
5,29205.95,27.352594,12.159775,4.048813,-112.55586,-40.25041,-12.979698,6.2521715,-111.52815,-26.030142,-42.70754,-6.396883,50.05705,58.023483,31.54747,40.28609,57.79764,34.22271,64.351814,-68.97503,33.639782,44.801373,221.61642,37.375484,-53.300987,-0.8547565,-29.336456,-21.306362,111.481964
6,34012.727,31.198465,12.233704,3.9044342,-132.93935,-48.813244,-15.449112,7.128804,-128.33026,-28.898191,-48.47665,-8.20746,57.133038,68.9825,37.159393,46.55187,68.70256,40.496384,76.15188,-79.265434,40.02159,53.408375,258.808,43.937603,-62.970795,-3.6448338,-35.39975,-25.01553,129.70581
7,36443.793,33.198708,14.472763,5.7782593,-139.65256,-50.19324,-15.292149,8.286702,-138.98105,-34.237316,-52.558144,-7.8701687,62.303005,73.74471,38.10704,51.0311,71.353745,42.360962,80.16253,-85.61869,42.900696,55.581646,272.5526,46.06134,-65.036835,-1.8325473,-36.298523,-27.044308,139.07208
8,29156.098,27.525461,11.435913,4.068207,-113.38129,-40.318974,-12.30402,7.0761003,-110.77272,-24.110815,-41.984974,-6.8985577,49.108303,58.97229,32.389954,39.92575,57.975773,34.794823,64.84225,-66.77766,33.252403,45.756344,223.23593,37.104145,-52.818527,-2.2978184,-28.95752,-21.72723,109.04256
9,27014.67,25.211416,9.741325,3.5234375,-105.229126,-37.671047,-11.168583,5.6409807,-102.27045,-22.752035,-38.427742,-6.1874714,45.300114,54.572395,28.560165,36.77146,53.8673,32.864807,59.90378,-61.534554,31.87161,42.143524,205.14536,34.048153,-48.33966,-2.3135922,-27.021255,-19.717052,102.429886
10,25501.725,23.695345,10.159462,3.5569305,-96.548874,-34.34128,-11.061565,5.780217,-97.49111,-23.215528,-37.06149,-4.7660923,43.584118,50.766632,26.702087,35.3793,49.516895,30.043167,55.273518,-60.241783,30.025877,38.736874,192.18219,32.584236,-45.52152,-0.2572452,-25.286545,-18.240955,97.557465
11,26435.863,24.174871,9.653885,3.3609009,-103.56237,-37.60281,-13.02322,5.2064714,-98.89917,-22.461641,-37.942585,-5.474989,44.191204,53.23268,29.267883,35.840836,52.98804,32.008698,58.404514,-60.542046,30.894804,41.12104,201.14166,33.899075,-48.63945,-3.1212475,-26.518509,-19.153507,100.18552
12,31008.688,29.127657,11.8936615,4.3786926,-120.22744,-42.76788,-13.99781,7.336751,-118.59897,-26.974691,-44.34907,-6.374056,53.663387,62.27001,32.76544,42.914097,60.701878,36.185715,68.656364,-71.899124,36.887936,47.290234,233.84052,40.0763,-55.9207,-2.511783,-30.312744,-23.070026,117.950226
13,23560.994,21.090769,9.736282,3.7357864,-91.066895,-32.186844,-10.512924,4.984868,-89.11293,-21.034716,-34.172897,-5.400343,39.375538,47.182175,24.940628,32.364834,47.044605,27.884422,51.75205,-54.748726,27.071733,36.37801,177.387,29.833866,-41.794754,-1.323083,-23.74501,-17.354916,89.03188
14,23192.582,20.2236,8.539299,3.5636444,-92.61777,-32.60495,-10.772594,5.001378,-87.01763,-18.316755,-32.982693,-6.4039783,37.223248,47.828316,26.624367,30.209297,46.934467,27.510452,52.8557,-52.24901,26.268663,37.23573,177.80444,29.30389,-41.55635,-3.0405152,-24.81514,-17.576813,85.32419
15,29157.188,25.840597,9.901085,4.1888275,-118.44337,-42.1807,-14.197659,5.5262957,-107.01413,-21.905615,-41.11696,-8.149279,46.912914,60.015564,34.119324,38.17107,59.928654,35.511665,67.03837,-63.61309,33.226086,46.8411,225.99298,37.09748,-53.02687,-6.382806,-31.307587,-22.53381,107.973434
16,26875.668,23.809988,10.218315,3.9113007,-104.895065,-37.698383,-11.521847,5.5259295,-100.89936,-22.275553,-38.789406,-6.623335,43.611668,54.763344,29.56752,36.091675,54.1666,31.757439,60.06351,-61.268967,31.115667,41.701015,204.61609,33.88489,-47.99012,-2.547994,-27.45842,-19.84798,100.99928
17,25082.074,22.71528,8.85849,3.6905212,-98.64066,-35.203114,-11.534157,5.510625,-94.26814,-21.26531,-35.5934,-6.368372,41.620358,49.98558,26.861412,34.654083,49.84267,29.57692,55.951557,-57.44095,29.525686,39.220676,190.3651,32.174107,-46.127598,-2.935365,-25.991531,-18.691963,95.24608
