,date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
0,27250.117,25.51089,11.188446,4.4591217,-104.00726,-37.624645,-11.242352,6.1277056,-104.15511,-23.917917,-40.325474,-5.992243,46.893818,54.690384,28.70079,37.265697,53.822117,31.74192,59.642323,-63.81942,31.0146,41.75427,207.14934,35.56664,-49.014317,-1.4570724,-27.545532,-20.929264,103.22824
1,40201.93,38.59952,16.767952,6.34198,-150.58092,-53.387745,-14.811062,9.754262,-155.73639,-38.409206,-58.18128,-7.4024296,70.625946,79.48871,40.27385,56.977158,77.38759,47.443565,86.622185,-95.450806,47.421524,59.963802,303.69748,52.403305,-70.64682,0.6008061,-38.92459,-28.913906,155.14937
2,28801.525,27.15978,11.436142,4.481415,-112.27684,-38.896458,-12.631321,7.1097918,-109.26849,-24.642103,-41.996094,-6.97674,49.06921,57.653122,30.975174,39.331215,56.470417,33.8937,64.25771,-66.19429,33.282757,44.54649,220.28244,36.52377,-51.891655,-2.0737984,-29.46347,-22.3961,108.35364
3,32205.252,30.164282,12.490234,4.2606506,-127.21453,-45.301777,-13.912773,6.526479,-121.31399,-25.203352,-45.691998,-8.568689,52.99603,65.739334,35.287155,43.293232,66.291885,39.68975,72.64504,-73.12439,36.13255,50.487446,248.48065,41.44625,-58.300575,-4.093484,-33.669067,-25.018375,120.24838
4,27583.338,25.566,11.7482605,3.9663696,-107.99088,-38.76923,-12.162567,5.8656054,-105.19388,-23.00899,-40.386433,-6.562189,46.73682,55.750153,29.487381,37.84126,55.278873,32.53047,60.525623,-64.694,31.866533,42.260365,209.64548,35.21801,-50.7448,-1.8731796,-27.910461,-20.959354,104.51155
5,17872.318,16.270035,7.126323,2.8537521,-68.52132,-24.405586,-7.1829185,4.422658,-68.357925,-15.542716,-25.79197,-3.810785,30.143673,35.772205,18.913696,24.84539,35.01943,20.80886,39.169666,-41.955822,20.96139,27.386791,135.43056,23.137402,-32.0224,-0.557788,-18.120178,-13.2999115,67.88275
6,26100.414,23.944403,10.200203,3.6967163,-103.51512,-37.11732,-11.420506,5.2646837,-98.391014,-20.749296,-37.638874,-7.0311565,43.531544,53.55168,28.32428,35.14465,53.08597,31.191292,58.965015,-59.92993,29.826944,40.492996,197.9707,33.59052,-47.91327,-3.354213,-27.520355,-20.308674,98.11438
7,23607.09,21.103262,8.8508835,3.4310913,-91.1639,-32.77623,-11.1935005,4.9756517,-89.172966,-21.19274,-33.027515,-5.928747,39.584118,47.55037,25.45678,32.79743,46.62438,28.117798,52.307957,-54.724655,27.690523,37.08882,177.38214,29.846771,-42.598297,-2.3286984,-23.52298,-16.882336,89.66271
8,23387.129,20.638388,8.372719,3.6818008,-92.47306,-33.26441,-10.791729,4.16039,-87.03873,-17.892721,-32.747944,-7.4057293,38.165974,48.063606,26.439949,30.712751,47.5528,28.031746,53.175327,-52.0821,26.600386,37.456135,179.23866,29.992188,-42.817596,-3.8752797,-24.725098,-17.688244,86.7664
9,29765.59,26.50493,11.302849,4.8610992,-119.58106,-42.039127,-14.526024,5.796071,-110.038666,-23.718435,-42.692482,-8.576502,49.336346,60.345078,34.19226,39.381546,60.706455,36.22902,67.42889,-65.97941,33.037678,47.14626,227.98788,37.746227,-53.62938,-4.745908,-30.792877,-23.432758,110.58368
