,date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
0,5923.861,54.038967,,4.611551,-110.606476,-42.15827,-13.69214,7.766509,-101.00634,-24.565535,-44.997627,-6.859217,54.269657,67.95609,20.244019,42.46342,57.214706,31.574802,70.28215,-71.221214,41.042557,50.89411,199.83647,19.690659,-62.685085,-2.100554,-31.8088,-43.186104,58.778194
1,5764.687,50.793396,,4.4876976,-109.4836,-42.968487,-14.197402,5.8694468,-96.62926,-22.516441,-43.277958,-7.8200445,51.55379,66.09552,19.589228,40.59852,57.78838,31.475224,68.41245,-68.90661,39.012177,48.71455,193.14714,19.728579,-63.388885,-3.7201762,-31.117119,-41.39095,57.198147
2,6138.516,55.81026,,4.3652797,-112.2386,-43.454998,-14.738068,8.261623,-105.710434,-28.756395,-47.37301,-5.807756,56.478676,69.96262,20.137085,46.074787,59.018955,33.161957,71.17085,-77.12542,44.00745,51.607197,204.5526,20.533823,-65.85929,-0.091811895,-32.134518,-42.169155,62.037384
3,5635.942,48.889004,,3.8881373,-104.630646,-40.68372,-13.713336,6.3128695,-94.67616,-23.134157,-41.877445,-5.730041,50.364605,64.00438,18.92899,40.191692,54.72506,30.699902,65.03497,-66.32085,39.961067,47.60011,186.67197,18.729883,-59.979725,-3.288025,-28.606115,-38.17745,56.14363
4,5448.4624,46.96967,,3.9969134,-99.28716,-38.465157,-12.333484,6.37332,-90.65303,-21.852081,-39.595036,-5.9976873,48.405296,60.585693,18.001474,38.883667,52.06976,29.815695,62.28732,-64.15779,37.841,44.76632,180.70293,18.447031,-56.327457,-2.333642,-27.820992,-35.445843,54.49432
5,5580.3726,50.128265,,4.155116,-102.019066,-39.493977,-12.693126,6.4099326,-94.44551,-23.848495,-42.312096,-6.2797775,51.29386,61.675037,18.520773,40.443535,53.48544,29.700157,64.187195,-68.17777,38.25588,46.050365,184.62115,18.79341,-59.74909,-0.8564731,-29.046104,-37.196617,56.294838
6,6326.9927,58.99257,,4.0041537,-119.99435,-47.838387,-15.081219,7.3231926,-108.032364,-26.387722,-48.009495,-8.035052,58.6034,73.556816,21.199022,46.74244,63.324043,34.862873,75.94754,-78.31298,45.869904,54.98237,214.26958,21.343746,-71.00443,-3.4999337,-35.02592,-45.36122,63.854485
7,6697.409,63.71673,,5.9720554,-125.89833,-49.182228,-14.929562,8.532502,-116.60428,-31.091984,-52.038925,-7.708477,63.94864,78.73172,21.643435,51.246075,65.71003,36.38906,79.94436,-84.56809,49.32466,57.239918,225.18114,22.149895,-73.41789,-1.79566,-35.911972,-49.963818,67.6667
8,5572.521,50.520237,,4.1754036,-102.748505,-39.560837,-12.038834,7.2682276,-93.832634,-22.143854,-41.598347,-6.7666984,50.314404,62.702137,18.928247,40.081326,53.646492,30.172846,64.67601,-66.01289,37.7958,47.040657,185.9162,18.685844,-59.18939,-2.236985,-28.672237,-38.1059,55.267227
9,5232.9604,45.32616,,3.6063948,-95.53816,-36.978214,-10.938406,5.774512,-86.92197,-20.934242,-38.083935,-6.076384,46.38449,57.94192,17.058893,36.91089,49.928818,28.576609,59.753716,-60.846287,36.158,43.295246,171.42761,17.461554,-54.0027,-2.2518947,-26.761576,-33.80475,52.46117
