,date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
0,,2.0,16.0,16.0,28.0,11.0,34.0,10.0,37.0,17.0,38.0,8.0,19.0,19.0,42.0,8.0,32.0,8.0,33.0,11.0,33.0,18.0,4.0,44.0,24.0,47.0,26.0,13.0,13.0
1,,2.0,16.0,16.0,27.0,11.0,34.0,10.0,37.0,17.0,39.0,8.0,19.0,18.0,41.0,8.0,32.0,8.0,33.0,11.0,33.0,18.0,5.0,44.0,23.0,44.0,26.0,18.0,18.0
2,,1.0,16.0,16.0,26.0,11.0,33.0,10.0,37.0,17.0,38.0,8.0,19.0,18.0,41.0,8.0,32.0,8.0,32.0,10.0,33.0,18.0,5.0,44.0,22.0,41.0,26.0,28.0,28.0
3,,1.0,24.0,16.0,26.0,11.0,33.0,10.0,37.0,17.0,38.0,8.0,19.0,18.0,41.0,8.0,32.0,8.0,32.0,10.0,33.0,18.0,5.0,44.0,21.0,38.0,26.0,45.0,45.0
4,,2.0,24.0,16.0,26.0,11.0,33.0,10.0,37.0,17.0,38.0,8.0,19.0,18.0,42.0,8.0,31.0,8.0,32.0,10.0,33.0,17.0,5.0,44.0,20.0,35.0,26.0,10.0,10.0
5,,1.0,24.0,16.0,26.0,11.0,33.0,10.0,37.0,17.0,38.0,8.0,18.0,17.0,42.0,8.0,32.0,8.0,32.0,10.0,33.0,17.0,5.0,44.0,19.0,32.0,25.0,44.0,44.0
6,,2.0,33.0,16.0,25.0,11.0,33.0,10.0,37.0,17.0,38.0,8.0,18.0,17.0,43.0,8.0,31.0,8.0,32.0,10.0,33.0,17.0,5.0,44.0,17.0,29.0,25.0,47.0,47.0
7,,2.0,33.0,16.0,25.0,11.0,33.0,10.0,37.0,17.0,38.0,8.0,18.0,17.0,43.0,8.0,31.0,8.0,32.0,10.0,33.0,17.0,5.0,44.0,18.0,29.0,25.0,33.0,33.0
8,,2.0,24.0,15.0,25.0,11.0,33.0,10.0,37.0,17.0,38.0,8.0,18.0,17.0,43.0,8.0,32.0,8.0,32.0,10.0,33.0,17.0,5.0,44.0,19.0,29.0,25.0,31.0,31.0
9,,2.0,24.0,16.0,26.0,11.0,33.0,10.0,37.0,17.0,39.0,8.0,18.0,17.0,43.0,8.0,32.0,8.0,32.0,10.0,33.0,17.0,5.0,44.0,19.0,29.0,25.0,3.0,3.0
10,,10.0,49.0,16.0,25.0,11.0,33.0,10.0,37.0,17.0,40.0,8.0,18.0,17.0,43.0,8.0,34.0,8.0,32.0,10.0,33.0,17.0,5.0,44.0,20.0,29.0,25.0,10.0,10.0
11,,26.0,41.0,17.0,26.0,12.0,33.0,10.0,37.0,17.0,40.0,8.0,18.0,17.0,43.0,10.0,37.0,8.0,32.0,10.0,33.0,17.0,5.0,44.0,20.0,29.0,25.0,8.0,8.0
12,,19.0,33.0,17.0,28.0,12.0,33.0,11.0,37.0,17.0,39.0,8.0,19.0,17.0,44.0,11.0,39.0,8.0,32.0,10.0,33.0,17.0,6.0,44.0,21.0,29.0,25.0,34.0,34.0
13,,11.0,24.0,18.0,35.0,13.0,34.0,11.0,39.0,17.0,41.0,8.0,19.0,17.0,44.0,12.0,40.0,7.0,32.0,10.0,33.0,17.0,6.0,43.0,21.0,29.0,25.0,19.0,19.0
14,,4.0,,19.0,39.0,13.0,35.0,11.0,43.0,17.0,44.0,8.0,19.0,17.0,44.0,12.0,39.0,8.0,33.0,10.0,33.0,17.0,6.0,43.0,21.0,29.0,24.0,38.0,38.0
15,,4.0,,19.0,36.0,14.0,36.0,12.0,46.0,17.0,44.0,8.0,19.0,17.0,44.0,11.0,38.0,8.0,33.0,10.0,33.0,17.0,6.0,43.0,21.0,29.0,24.0,24.0,24.0
16,,3.0,,20.0,35.0,14.0,37.0,12.0,46.0,17.0,43.0,8.0,20.0,17.0,44.0,11.0,37.0,8.0,34.0,10.0,33.0,17.0,6.0,42.0,21.0,29.0,24.0,35.0,35.0
17,,2.0,16.0,21.0,36.0,14.0,37.0,12.0,45.0,17.0,43.0,8.0,20.0,16.0,43.0,10.0,36.0,9.0,35.0,10.0,33.0,17.0,6.0,42.0,21.0,29.0,24.0,49.0,49.0
18,,3.0,16.0,21.0,33.0,14.0,36.0,12.0,45.0,17.0,44.0,8.0,20.0,16.0,43.0,10.0,35.0,10.0,35.0,10.0,33.0,17.0,6.0,42.0,21.0,29.0,24.0,18.0,18.0
19,,6.0,24.0,21.0,31.0,14.0,35.0,12.0,44.0,17.0,46.0,10.0,30.0,16.0,43.0,10.0,34.0,10.0,35.0,10.0,33.0,17.0,6.0,41.0,21.0,29.0,24.0,38.0,38.0
20,,5.0,8.0,21.0,29.0,14.0,35.0,12.0,43.0,18.0,47.0,13.0,36.0,16.0,43.0,10.0,33.0,11.0,35.0,10.0,33.0,17.0,6.0,41.0,21.0,29.0,24.0,46.0,46.0
21,,8.0,24.0,22.0,28.0,15.0,35.0,12.0,42.0,18.0,47.0,11.0,37.0,16.0,43.0,10.0,33.0,11.0,35.0,10.0,33.0,17.0,6.0,41.0,21.0,29.0,23.0,10.0,10.0
22,,4.0,24.0,22.0,27.0,15.0,34.0,12.0,42.0,19.0,45.0,10.0,37.0,16.0,43.0,10.0,36.0,11.0,35.0,10.0,32.0,17.0,7.0,41.0,21.0,29.0,23.0,32.0,32.0
23,,4.0,24.0,22.0,26.0,15.0,34.0,12.0,41.0,19.0,44.0,10.0,36.0,17.0,43.0,11.0,36.0,12.0,35.0,10.0,32.0,17.0,7.0,41.0,21.0,29.0,23.0,6.0,6.0
24,,4.0,16.0,22.0,26.0,15.0,34.0,12.0,41.0,19.0,43.0,11.0,39.0,17.0,43.0,11.0,35.0,12.0,34.0,10.0,32.0,17.0,7.0,41.0,21.0,29.0,23.0,13.0,13.0
25,,4.0,8.0,23.0,25.0,15.0,34.0,13.0,40.0,19.0,42.0,14.0,39.0,17.0,42.0,11.0,35.0,12.0,34.0,10.0,32.0,17.0,7.0,41.0,21.0,29.0,23.0,19.0,19.0
26,,4.0,16.0,23.0,25.0,16.0,34.0,13.0,40.0,19.0,42.0,14.0,30.0,16.0,42.0,11.0,36.0,12.0,34.0,10.0,32.0,17.0,7.0,41.0,21.0,29.0,23.0,,
27,,4.0,8.0,24.0,25.0,16.0,34.0,13.0,40.0,19.0,42.0,15.0,24.0,16.0,43.0,11.0,36.0,13.0,33.0,10.0,32.0,17.0,7.0,41.0,21.0,29.0,23.0,19.0,19.0
28,,4.0,8.0,24.0,25.0,16.0,34.0,13.0,40.0,19.0,43.0,15.0,21.0,16.0,43.0,11.0,36.0,13.0,33.0,10.0,32.0,17.0,7.0,41.0,21.0,29.0,23.0,43.0,43.0
29,,4.0,8.0,24.0,25.0,16.0,34.0,13.0,40.0,20.0,44.0,16.0,20.0,16.0,43.0,11.0,36.0,13.0,33.0,10.0,32.0,17.0,7.0,41.0,21.0,29.0,23.0,17.0,17.0
30,,4.0,8.0,24.0,24.0,17.0,33.0,13.0,40.0,20.0,43.0,17.0,19.0,16.0,43.0,11.0,35.0,13.0,33.0,10.0,31.0,17.0,7.0,42.0,21.0,29.0,23.0,24.0,24.0
31,,18.0,8.0,25.0,24.0,17.0,33.0,13.0,40.0,20.0,42.0,17.0,18.0,17.0,43.0,11.0,35.0,13.0,33.0,10.0,31.0,17.0,7.0,41.0,22.0,29.0,23.0,29.0,29.0
32,,18.0,8.0,25.0,24.0,17.0,33.0,13.0,40.0,20.0,42.0,18.0,17.0,17.0,42.0,11.0,35.0,14.0,33.0,10.0,31.0,17.0,7.0,41.0,22.0,29.0,23.0,24.0,24.0
33,,17.0,16.0,25.0,24.0,17.0,33.0,13.0,39.0,22.0,42.0,18.0,17.0,17.0,42.0,11.0,34.0,14.0,33.0,10.0,31.0,17.0,7.0,41.0,23.0,29.0,23.0,9.0,9.0
34,,10.0,8.0,25.0,23.0,17.0,32.0,13.0,39.0,24.0,41.0,18.0,16.0,17.0,42.0,11.0,34.0,13.0,33.0,10.0,31.0,17.0,7.0,41.0,23.0,29.0,23.0,41.0,41.0
35,,2.0,8.0,25.0,23.0,17.0,32.0,13.0,39.0,26.0,41.0,18.0,16.0,17.0,41.0,10.0,34.0,13.0,33.0,10.0,31.0,17.0,8.0,41.0,24.0,29.0,23.0,33.0,33.0
36,,2.0,8.0,25.0,23.0,17.0,32.0,13.0,39.0,27.0,40.0,18.0,16.0,17.0,42.0,10.0,34.0,13.0,33.0,10.0,31.0,17.0,8.0,41.0,24.0,29.0,23.0,39.0,39.0
37,,2.0,8.0,25.0,23.0,17.0,32.0,13.0,39.0,26.0,39.0,18.0,15.0,17.0,42.0,10.0,35.0,14.0,34.0,10.0,32.0,17.0,8.0,41.0,24.0,27.0,23.0,5.0,5.0
38,,1.0,,25.0,23.0,17.0,32.0,12.0,39.0,26.0,40.0,18.0,15.0,17.0,43.0,10.0,35.0,14.0,35.0,10.0,33.0,17.0,8.0,42.0,23.0,25.0,23.0,36.0,36.0
39,,2.0,8.0,24.0,23.0,17.0,32.0,12.0,39.0,25.0,40.0,18.0,15.0,17.0,43.0,10.0,35.0,14.0,35.0,10.0,33.0,17.0,8.0,43.0,23.0,23.0,23.0,20.0,20.0
40,,2.0,8.0,24.0,23.0,17.0,32.0,12.0,39.0,25.0,40.0,18.0,15.0,16.0,43.0,10.0,35.0,14.0,36.0,10.0,33.0,16.0,8.0,43.0,22.0,20.0,23.0,41.0,41.0
41,,1.0,8.0,24.0,23.0,17.0,32.0,12.0,39.0,25.0,40.0,18.0,15.0,16.0,43.0,10.0,36.0,14.0,36.0,10.0,34.0,16.0,8.0,44.0,22.0,18.0,24.0,32.0,32.0
42,,1.0,,24.0,24.0,17.0,32.0,12.0,39.0,24.0,40.0,18.0,15.0,16.0,44.0,10.0,36.0,14.0,36.0,10.0,34.0,16.0,8.0,44.0,21.0,16.0,24.0,39.0,39.0
43,,,8.0,23.0,24.0,16.0,33.0,12.0,39.0,24.0,41.0,18.0,15.0,16.0,44.0,10.0,36.0,14.0,37.0,10.0,34.0,16.0,8.0,44.0,21.0,18.0,24.0,27.0,27.0
44,,1.0,8.0,23.0,24.0,16.0,33.0,12.0,39.0,24.0,41.0,18.0,15.0,16.0,44.0,11.0,37.0,14.0,37.0,10.0,34.0,16.0,9.0,44.0,21.0,20.0,24.0,26.0,26.0
45,,1.0,8.0,23.0,24.0,16.0,33.0,12.0,39.0,24.0,41.0,18.0,15.0,16.0,44.0,11.0,38.0,14.0,38.0,10.0,34.0,16.0,9.0,44.0,21.0,23.0,23.0,39.0,39.0
46,,14.0,,23.0,24.0,16.0,33.0,12.0,39.0,23.0,41.0,18.0,15.0,16.0,44.0,11.0,39.0,14.0,38.0,10.0,34.0,16.0,9.0,44.0,21.0,25.0,23.0,1.0,1.0
47,,17.0,8.0,23.0,25.0,15.0,33.0,12.0,39.0,24.0,42.0,17.0,15.0,16.0,44.0,11.0,39.0,13.0,38.0,10.0,34.0,16.0,9.0,44.0,21.0,27.0,23.0,23.0,23.0
48,,17.0,8.0,22.0,25.0,15.0,33.0,12.0,39.0,25.0,42.0,17.0,15.0,15.0,44.0,11.0,39.0,13.0,38.0,10.0,35.0,16.0,9.0,44.0,21.0,29.0,23.0,36.0,36.0
49,,16.0,8.0,22.0,25.0,15.0,33.0,12.0,39.0,27.0,42.0,17.0,15.0,16.0,45.0,11.0,39.0,13.0,39.0,10.0,35.0,16.0,9.0,44.0,20.0,29.0,23.0,34.0,34.0
